"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"823","Biden's Reaction to Unrest in China, Iran, Questioned by Critics   https://t.co/kti5L3oA1V With major street protes… https://t.co/oBbjrNpt57",FALSE,0,NA,2022-12-02 02:21:39,TRUE,NA,"1598502624973754376",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LiuDejun",0,FALSE,FALSE,NA,NA
"824","RT @dellavolpe: Newt Gingrich on Joe Biden.

""Republicans must learn to quit underestimating @POTUS.""

""Conservatives’ hostility to Biden a…",FALSE,0,NA,2022-12-02 02:21:39,FALSE,NA,"1598502624596484096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tinalc1958",5821,TRUE,FALSE,NA,NA
"825","RT @dellavolpe: Newt Gingrich on Joe Biden.

""Republicans must learn to quit underestimating @POTUS.""

""Conservatives’ hostility to Biden a…",FALSE,0,NA,2022-12-02 02:21:38,FALSE,NA,"1598502623778308097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SophieS49257085",5821,TRUE,FALSE,NA,NA
"826","@poochalot1976 @gaacd7 @NickAdamsinUSA Joe Biden is the worst president in history 🤷🏾‍♂️ so there’s that",FALSE,0,"poochalot1976",2022-12-02 02:21:38,FALSE,"1598482220171382784","1598502622721236993","3912987856","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c67sw4nvwm",0,FALSE,FALSE,NA,NA
"827","RT @Jim_Jordan: Why can’t Democrats admit that Joe Biden caused the border crisis?",FALSE,0,NA,2022-12-02 02:21:37,FALSE,NA,"1598502618799771649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","liunet13",3833,TRUE,FALSE,NA,NA
"828","RT @Jim_Jordan: Joe Biden’s Treasury Secretary is blaming inflation on YOU because YOU spent too much of YOUR own money. 

That’s insane.…",FALSE,0,NA,2022-12-02 02:21:37,FALSE,NA,"1598502618791395328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Famis4evr",1184,TRUE,FALSE,NA,NA
"829","RT @ACTBrigitte: President Trump worked for free. Joe Biden is working for China.",FALSE,0,NA,2022-12-02 02:21:37,FALSE,NA,"1598502615830204416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Kenneth24948164",1471,TRUE,FALSE,NA,NA
"830","RT @ACTBrigitte: President Trump worked for free. Joe Biden is working for China.",FALSE,0,NA,2022-12-02 02:21:34,FALSE,NA,"1598502606615232512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cybergeorge007",1471,TRUE,FALSE,NA,NA
"831","RT @dom_lucre: What has Joe Biden done for black people other than use them for political gain?",FALSE,0,NA,2022-12-02 02:21:34,FALSE,NA,"1598502603515564032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sonorsigs",5048,TRUE,FALSE,NA,NA
"832","RT @ceokimjisoos: what is joe biden’s plan to bring wendy williams back so she can exclusively comment on the amy robach and TJ holmes affa…",FALSE,0,NA,2022-12-02 02:21:33,FALSE,NA,"1598502602110631937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","QueenBorne9",466,TRUE,FALSE,NA,NA
"833","RT @SenTedCruz: Joe Biden firing thousands of brave service men and women for refusing the COVID vaccine is wrong.
 
It should be your choi…",FALSE,0,NA,2022-12-02 02:21:30,FALSE,NA,"1598502588898762752",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","happymelon88",2234,TRUE,FALSE,NA,NA
"834","RT @drboycewatkins1: I don’t defend everything about #KanyeWest, but I listened to his words.  He didn’t fully praise Hitler.  He said he d…",FALSE,0,NA,2022-12-02 02:21:30,FALSE,NA,"1598502586520604673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inez1007",406,TRUE,FALSE,NA,NA
"835","RT @drboycewatkins1: I don’t defend everything about #KanyeWest, but I listened to his words.  He didn’t fully praise Hitler.  He said he d…",FALSE,0,NA,2022-12-02 02:21:29,FALSE,NA,"1598502582778986500",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RellTheCEO",406,TRUE,FALSE,NA,NA
"836","RT @ProudElephantUS: Joe Biden belongs in prison, not the White House.",FALSE,0,NA,2022-12-02 02:21:28,FALSE,NA,"1598502578987335680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Goodpaster_P",119,TRUE,FALSE,NA,NA
"837","RT @MarshaBlackburn: Every day, men and women drop everything to serve and protect our nation.

Joe Biden’s willing to discharge them becau…",FALSE,0,NA,2022-12-02 02:21:27,FALSE,NA,"1598502574029676544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lisa43018757",813,TRUE,FALSE,NA,NA
"838","RT @Jim_Jordan: Joe Biden’s Treasury Secretary is blaming inflation on YOU because YOU spent too much of YOUR own money. 

That’s insane.…",FALSE,0,NA,2022-12-02 02:21:26,FALSE,NA,"1598502573212053506",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndyBear12",1184,TRUE,FALSE,NA,NA
"839","RT @DashDobrofsky: Moreover, the 2022 midterms proved Joe Biden was more popular than the pollsters, political pundits, and high-paid analy…",FALSE,0,NA,2022-12-02 02:21:26,FALSE,NA,"1598502571840344065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jianji",133,TRUE,FALSE,NA,NA
"840","RT @Jim_Jordan: Why can’t Democrats admit that Joe Biden caused the border crisis?",FALSE,0,NA,2022-12-02 02:21:26,FALSE,NA,"1598502571756462080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beresfsd",3833,TRUE,FALSE,NA,NA
"841","RT @HawleyMO: At the behest of Joe Biden, US Senate now using federal law to force railroad workers to accept contracts they voted to reject",FALSE,0,NA,2022-12-02 02:21:25,FALSE,NA,"1598502569277624322",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","notadmblnd",1325,TRUE,FALSE,NA,NA
"842","RT @Ukraine66251776: 1998 the real Joe Biden 
Bomb Belgrade !
Take out their Oil Supply !
Send American pilots in and BLOW UP ALL THE BRIDG…",FALSE,0,NA,2022-12-02 02:21:25,FALSE,NA,"1598502568271183873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KomatsuNavy",519,TRUE,FALSE,NA,NA
